"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"prey chain transfer"
"03/29/2023 21:51:07:531 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"501","prey chain transfer","5","210","100","0","444","444"
"496","prey chain transfer","5","195","100","300000","492","492"
"502","prey chain transfer","5","210","100","60000","426","426"
"507","prey chain transfer","5","210","100","360000","307","307"
"503","prey chain transfer","5","210","100","120000","520","520"
"509","prey chain transfer","5","210","100","480000","382","382"
"504","prey chain transfer","5","210","100","180000","416","416"
"505","prey chain transfer","5","210","100","240000","446","446"
"508","prey chain transfer","5","210","100","420000","458","458"
"512","prey chain transfer","5","225","100","60000","359","359"
"511","prey chain transfer","5","225","100","0","378","378"
"513","prey chain transfer","5","225","100","120000","343","343"
"506","prey chain transfer","5","210","100","300000","411","411"
"514","prey chain transfer","5","225","100","180000","463","463"
"510","prey chain transfer","5","210","100","540000","463","463"
"518","prey chain transfer","5","225","100","420000","352","352"
"516","prey chain transfer","5","225","100","300000","451","451"
"520","prey chain transfer","5","225","100","540000","395","395"
"517","prey chain transfer","5","225","100","360000","441","441"
"521","prey chain transfer","5","240","100","0","411","411"
"515","prey chain transfer","5","225","100","240000","565","565"
"519","prey chain transfer","5","225","100","480000","510","510"
"522","prey chain transfer","5","240","100","60000","485","485"
"525","prey chain transfer","5","240","100","240000","471","471"
"526","prey chain transfer","5","240","100","300000","459","459"
"527","prey chain transfer","5","240","100","360000","355","355"
"523","prey chain transfer","5","240","100","120000","517","517"
"533","prey chain transfer","5","255","100","120000","369","369"
"528","prey chain transfer","5","240","100","420000","525","525"
"529","prey chain transfer","5","240","100","480000","449","449"
"534","prey chain transfer","5","255","100","180000","443","443"
"532","prey chain transfer","5","255","100","60000","446","446"
"530","prey chain transfer","5","240","100","540000","439","439"
"531","prey chain transfer","5","255","100","0","522","522"
"524","prey chain transfer","5","240","100","180000","449","449"
"536","prey chain transfer","5","255","100","300000","378","378"
"535","prey chain transfer","5","255","100","240000","488","488"
"540","prey chain transfer","5","255","100","540000","427","427"
"538","prey chain transfer","5","255","100","420000","419","419"
